time,month,hours_after_sunset,bat_landing_number,food_availability,rat_minutes,rat_arrival_number
26/12/2017 16:13,0,-0.5,20,4.0,0.0,0
26/12/2017 16:43,0,0.0,28,4.0,0.0,0
26/12/2017 17:13,0,0.5,25,4.0,0.0,0
26/12/2017 17:43,0,1.0,71,4.0,0.0,0
26/12/2017 18:13,0,1.5,44,3.753856942,0.0,0
26/12/2017 18:43,0,2.0,44,3.147265077,0.0,0
26/12/2017 19:13,0,2.5,41,3.0,0.0,0
26/12/2017 19:43,0,3.0,54,3.0,0.0,0
26/12/2017 20:13,0,3.5,32,3.0,0.0,0
26/12/2017 22:43,0,6.0,45,1.958064516,0.0,0
26/12/2017 23:13,0,6.5,30,1.55,0.0,0
26/12/2017 23:43,0,7.0,44,1.049289229,0.0,0
27/12/2017 0:13,0,7.5,30,0.542372881,0.0,0
27/12/2017 16:13,0,-0.5,13,4.0,0.0,0
27/12/2017 16:43,0,0.0,18,4.0,0.0,0
27/12/2017 17:13,0,0.5,31,4.0,0.0,0
27/12/2017 17:43,0,1.0,35,4.0,0.0,0
27/12/2017 18:13,0,1.5,22,4.0,0.0,0
27/12/2017 18:43,0,2.0,24,3.964516129,0.0,0
27/12/2017 19:13,0,2.5,30,3.566666667,0.0,0
27/12/2017 19:43,0,3.0,73,3.102150538,0.0,0
27/12/2017 20:13,0,3.5,67,3.0,0.0,0
27/12/2017 20:43,0,4.0,2,3.0,0.0,0
27/12/2017 21:13,0,4.5,25,3.0,0.0,0
27/12/2017 21:43,0,5.0,48,2.970430108,0.0,0
27/12/2017 22:13,0,5.5,52,2.583333333,0.0,0
27/12/2017 22:43,0,6.0,61,2.112903226,0.0,0
27/12/2017 23:13,0,6.5,17,2.0,0.0,0
27/12/2017 23:43,0,7.0,12,2.0,0.0,0
28/12/2017 0:13,0,7.5,11,2.0,0.0,0
28/12/2017 1:13,0,8.5,40,1.555555556,0.0,0
28/12/2017 1:43,0,9.0,37,1.107526882,0.0,0
28/12/2017 2:13,0,9.5,34,1.0,0.0,0
28/12/2017 2:43,0,10.0,23,1.0,0.0,0
28/12/2017 3:13,0,10.5,21,1.0,0.0,0
28/12/2017 4:43,0,12.0,3,0.442307692,0.0,0
28/12/2017 16:14,0,-0.5,8,4.0,0.0,0
28/12/2017 16:44,0,0.0,3,4.0,0.0,0
28/12/2017 17:14,0,0.5,24,4.0,0.0,0
28/12/2017 17:44,0,1.0,23,4.0,0.0,0
28/12/2017 18:14,0,1.5,48,4.0,0.0,0
28/12/2017 18:44,0,2.0,55,3.962648557,0.0,0
28/12/2017 20:14,0,3.5,32,3.0,0.0,0
28/12/2017 20:44,0,4.0,29,3.0,0.0,0
28/12/2017 21:14,0,4.5,50,3.0,0.0,0
28/12/2017 21:44,0,5.0,49,2.951877314,0.0,0
28/12/2017 22:14,0,5.5,57,2.540983607,0.0,0
28/12/2017 22:44,0,6.0,66,2.090428345,0.0,0
28/12/2017 23:14,0,6.5,52,2.0,0.0,0
28/12/2017 23:44,0,7.0,42,2.0,0.0,0
29/12/2017 0:14,0,7.5,29,2.0,0.0,0
29/12/2017 0:44,0,8.0,38,1.951075269,0.0,0
29/12/2017 1:14,0,8.5,44,1.533333333,0.0,0
29/12/2017 1:44,0,9.0,23,1.082258065,0.0,0
29/12/2017 2:14,0,9.5,25,1.0,0.0,0
29/12/2017 2:44,0,10.0,31,0.947076613,0.0,0
29/12/2017 3:14,0,10.5,24,0.546875,0.0,0
29/12/2017 14:45,0,-2.0,7,4.0,0.0,0
29/12/2017 15:15,0,-1.5,1,4.0,0.0,0
29/12/2017 15:45,0,-1.0,1,4.0,0.0,0
29/12/2017 16:15,0,-0.5,6,4.0,0.0,0
29/12/2017 16:45,0,0.0,7,4.0,0.0,0
29/12/2017 17:15,0,0.5,14,4.0,0.0,0
29/12/2017 17:45,0,1.0,14,4.0,0.0,0
29/12/2017 18:45,0,2.0,19,3.949388209,0.0,0
29/12/2017 19:15,0,2.5,26,3.517241379,0.0,0
29/12/2017 19:45,0,3.0,29,3.066740823,0.0,0
29/12/2017 20:15,0,3.5,15,3.0,0.0,0
29/12/2017 20:45,0,4.0,67,3.0,0.0,0
29/12/2017 21:15,0,4.5,56,3.0,0.0,0
29/12/2017 21:45,0,5.0,45,3.0,0.0,0
29/12/2017 22:15,0,5.5,60,3.0,0.0,0
29/12/2017 22:45,0,6.0,59,3.0,0.0,0
29/12/2017 23:45,0,7.0,49,2.939516129,0.0,0
30/12/2017 0:15,0,7.5,42,2.53125,0.0,0
30/12/2017 0:45,0,8.0,39,2.057747696,0.0,0
30/12/2017 1:15,0,8.5,47,1.535714286,0.0,0
30/12/2017 1:45,0,9.0,30,1.069124424,0.0,0
30/12/2017 2:15,0,9.5,41,1.0,0.0,0
30/12/2017 2:45,0,10.0,34,1.0,0.0,0
30/12/2017 3:15,0,10.5,23,1.0,0.0,0
30/12/2017 3:45,0,11.0,13,0.943074004,0.0,0
30/12/2017 4:15,0,11.5,16,0.558823529,0.0,0
30/12/2017 16:45,0,0.0,21,4.0,0.0,0
30/12/2017 17:15,0,0.5,32,4.0,0.0,0
30/12/2017 17:45,0,1.0,13,4.0,0.0,0
30/12/2017 18:45,0,2.0,20,3.955857385,0.0,0
30/12/2017 19:15,0,2.5,35,3.526315789,0.0,0
30/12/2017 20:15,0,3.5,33,3.0,0.0,0
30/12/2017 20:45,0,4.0,39,3.0,0.0,0
30/12/2017 21:15,0,4.5,25,3.0,0.0,0
30/12/2017 21:45,0,5.0,10,3.0,0.0,0
30/12/2017 22:15,0,5.5,64,3.0,0.0,0
30/12/2017 22:45,0,6.0,41,3.0,0.0,0
30/12/2017 23:15,0,6.5,5,3.0,0.0,0
30/12/2017 23:45,0,7.0,31,2.943548387,0.0,0
31/12/2017 0:15,0,7.5,45,2.516666667,0.0,0
31/12/2017 0:45,0,8.0,42,2.07311828,0.0,0
31/12/2017 1:15,0,8.5,53,2.0,0.0,0
31/12/2017 1:45,0,9.0,45,2.0,0.0,0
31/12/2017 2:15,0,9.5,27,2.0,0.0,0
31/12/2017 2:45,0,10.0,24,1.957353745,0.0,0
31/12/2017 3:15,0,10.5,26,1.542372881,0.0,0
31/12/2017 3:45,0,11.0,17,1.083652269,0.0,0
31/12/2017 4:15,0,11.5,8,1.0,0.0,0
31/12/2017 4:45,0,12.0,12,1.0,0.0,0
31/12/2017 5:15,0,12.5,6,1.0,0.0,0
31/12/2017 6:15,0,13.5,5,1.0,0.0,0
31/12/2017 15:46,0,-1.0,1,4.0,0.0,0
31/12/2017 16:16,0,-0.5,15,4.0,0.0,0
31/12/2017 16:46,0,0.0,4,4.0,0.0,0
31/12/2017 17:16,0,0.5,3,4.0,0.0,0
31/12/2017 17:46,0,1.0,14,4.0,0.0,0
31/12/2017 18:16,0,1.5,14,3.723839496,0.0,0
31/12/2017 18:46,0,2.0,31,3.094413847,0.0,0
31/12/2017 19:16,0,2.5,22,3.0,0.0,0
31/12/2017 19:46,0,3.0,19,3.0,0.0,0
31/12/2017 20:16,0,3.5,29,3.0,0.0,0
31/12/2017 20:46,0,4.0,24,3.0,0.0,0
31/12/2017 21:16,0,4.5,38,3.0,0.0,0
31/12/2017 21:46,0,5.0,20,3.0,0.0,0
31/12/2017 22:16,0,5.5,17,3.0,0.0,0
31/12/2017 22:46,0,6.0,18,2.92688172,0.0,0
31/12/2017 23:16,0,6.5,28,2.483333333,0.0,0
31/12/2017 23:46,0,7.0,45,2.056451613,0.0,0
1/01/2018 0:16,1,7.5,34,2.0,0.0,0
1/01/2018 0:46,1,8.0,35,2.0,0.0,0
1/01/2018 1:16,1,8.5,31,2.0,0.0,0
1/01/2018 2:16,1,9.5,27,1.483333333,0.0,0
1/01/2018 2:46,1,10.0,38,1.056451613,0.0,0
1/01/2018 3:16,1,10.5,54,1.0,0.0,0
1/01/2018 3:46,1,11.0,13,1.0,0.0,0
1/01/2018 4:16,1,11.5,8,1.0,0.0,0
1/01/2018 4:46,1,12.0,27,1.0,0.0,0
1/01/2018 5:16,1,12.5,22,1.0,0.0,0
1/01/2018 16:17,1,-0.5,9,4.0,0.0,0
1/01/2018 16:47,1,0.0,18,4.0,0.0,0
1/01/2018 17:17,1,0.5,12,4.0,0.0,0
1/01/2018 17:47,1,1.0,17,4.0,0.0,0
